country,city,lat,lon,pageviews,pageviews_dby,pct_change
Spain,Madrid,40.24,-3.41,786.0,572.0,37.4
Sri-Lanka,Colombo,6.56,79.51,421.0,403.0,4.5
Sudan,Khartoum,15.36,32.32,110.0,76.0,44.7
Suriname,Paramaribo,5.5,-55.1,,,
Svalbard,Longyearbyen,78.13,15.33,,,
Swaziland,Mbabane,-26.18,31.06,,,
Sweden,Stockholm,59.2,18.03,,,
Switzerland,Bern,46.57,7.26,123.0,80.0,53.8
Syria,Damascus,33.3,36.18,143.0,119.0,20.2
S o Tom_ and Prêncipe,Sao Tome,0.12,6.39,,,
Taiwan,Taipei,25.03,121.3,,,
Tajikistan,Dushanbe,38.35,68.48,,,
Tanzania,Dar es Salaam,-6.48,39.17,327.0,198.0,65.2
Thailand,Bangkok,13.45,100.31,855.0,623.0,37.2
Togo,Lome,6.08,1.13,,,
Tonga,Nuku'alofa,-21.08,-175.12,,,
Trinidad and Tobago,Port-of-Spain,10.39,-61.31,,,
Tunisia,Tunis,36.48,10.11,1017.0,984.0,3.4
Turkey,Ankara,39.56,32.52,2158.0,2104.0,2.6
Turkmenistan,Ashgabat (Ashkhabad),37.57,58.23,,,
Turks and Caicos Islands,Grand Turk (Cockburn Town),21.28,-71.08,,,
Tuvalu,Funafuti,-8.3,179.12,,,
Uganda,Kampala,0.19,32.25,205.0,169.0,21.3
Ukraine,Kyiv (Kiev),50.26,30.31,167.0,139.0,20.1
United-Arab-Emirates,Abu Dhabi,24.28,54.22,557.0,404.0,37.9
United Kingdom,London,51.52,-0.11,,,
USA,Washington DC,38.53,-77.02,1459.0,1180.0,23.6
Uruguay,Montevideo,-34.53,-56.11,,,
Uzbekistan,Tashkent (Toshkent),41.2,69.18,,,
Vanuatu,Port-Vila (on Efate),-17.44,168.19,,,
Venezuela,Caracas,10.3,-66.56,143.0,87.0,64.4
Vietnam,Hanoi,21.02,105.51,328.0,265.0,23.8
Virgin Islands,Charlotte Amalie,18.21,-64.56,,,
Wallis and Futuna,Mata-Utu (on Ile Uvea),-13.57,-171.56,,,
Yemen,Sanaa,15.21,44.12,142.0,110.0,29.1
Zambia,Lusaka,-15.25,28.17,139.0,95.0,46.3
Zimbabwe,Harare,-17.5,31.03,245.0,149.0,64.4
